"Time","help with mortgage"
"2004-01-01",0
"2004-02-01",0
"2004-03-01",0
"2004-04-01",0
"2004-05-01",0
"2004-06-01",0
"2004-07-01",0
"2004-08-01",0
"2004-09-01",0
"2004-10-01",0
"2004-11-01",0
"2004-12-01",0
"2005-01-01",0
"2005-02-01",0
"2005-03-01",0
"2005-04-01",0
"2005-05-01",0
"2005-06-01",0
"2005-07-01",0
"2005-08-01",0
"2005-09-01",0
"2005-10-01",0
"2005-11-01",0
"2005-12-01",0
"2006-01-01",0
"2006-02-01",0
"2006-03-01",0
"2006-04-01",0
"2006-05-01",13
"2006-06-01",0
"2006-07-01",0
"2006-08-01",0
"2006-09-01",19
"2006-10-01",11
"2006-11-01",11
"2006-12-01",0
"2007-01-01",11
"2007-02-01",0
"2007-03-01",14
"2007-04-01",0
"2007-05-01",19
"2007-06-01",20
"2007-07-01",22
"2007-08-01",29
"2007-09-01",25
"2007-10-01",24
"2007-11-01",26
"2007-12-01",22
"2008-01-01",25
"2008-02-01",23
"2008-03-01",40
"2008-04-01",25
"2008-05-01",32
"2008-06-01",32
"2008-07-01",39
"2008-08-01",45
"2008-09-01",40
"2008-10-01",66
"2008-11-01",52
"2008-12-01",43
"2009-01-01",55
"2009-02-01",74
"2009-03-01",78
"2009-04-01",51
"2009-05-01",40
"2009-06-01",43
"2009-07-01",50
"2009-08-01",42
"2009-09-01",37
"2009-10-01",36
"2009-11-01",31
"2009-12-01",36
"2010-01-01",40
"2010-02-01",32
"2010-03-01",32
"2010-04-01",32
"2010-05-01",33
"2010-06-01",32
"2010-07-01",34
"2010-08-01",31
"2010-09-01",25
"2010-10-01",26
"2010-11-01",18
"2010-12-01",21
"2011-01-01",29
"2011-02-01",30
"2011-03-01",26
"2011-04-01",29
"2011-05-01",24
"2011-06-01",24
"2011-07-01",37
"2011-08-01",31
"2011-09-01",28
"2011-10-01",29
"2011-11-01",33
"2011-12-01",23
"2012-01-01",36
"2012-02-01",36
"2012-03-01",26
"2012-04-01",30
"2012-05-01",28
"2012-06-01",30
"2012-07-01",29
"2012-08-01",27
"2012-09-01",28
"2012-10-01",26
"2012-11-01",28
"2012-12-01",21
"2013-01-01",30
"2013-02-01",26
"2013-03-01",25
"2013-04-01",26
"2013-05-01",24
"2013-06-01",25
"2013-07-01",32
"2013-08-01",24
"2013-09-01",27
"2013-10-01",25
"2013-11-01",19
"2013-12-01",19
"2014-01-01",24
"2014-02-01",22
"2014-03-01",21
"2014-04-01",22
"2014-05-01",23
"2014-06-01",24
"2014-07-01",22
"2014-08-01",21
"2014-09-01",19
"2014-10-01",18
"2014-11-01",18
"2014-12-01",18
"2015-01-01",21
"2015-02-01",20
"2015-03-01",21
"2015-04-01",20
"2015-05-01",20
"2015-06-01",22
"2015-07-01",22
"2015-08-01",24
"2015-09-01",19
"2015-10-01",19
"2015-11-01",18
"2015-12-01",15
"2016-01-01",19
"2016-02-01",21
"2016-03-01",21
"2016-04-01",21
"2016-05-01",24
"2016-06-01",20
"2016-07-01",21
"2016-08-01",20
"2016-09-01",18
"2016-10-01",17
"2016-11-01",18
"2016-12-01",20
"2017-01-01",21
"2017-02-01",22
"2017-03-01",19
"2017-04-01",19
"2017-05-01",20
"2017-06-01",21
"2017-07-01",21
"2017-08-01",20
"2017-09-01",21
"2017-10-01",27
"2017-11-01",19
"2017-12-01",19
"2018-01-01",20
"2018-02-01",22
"2018-03-01",21
"2018-04-01",23
"2018-05-01",22
"2018-06-01",19
"2018-07-01",22
"2018-08-01",22
"2018-09-01",21
"2018-10-01",24
"2018-11-01",21
"2018-12-01",20
"2019-01-01",25
"2019-02-01",23
"2019-03-01",22
"2019-04-01",23
"2019-05-01",23
"2019-06-01",24
"2019-07-01",24
"2019-08-01",23
"2019-09-01",22
"2019-10-01",24
"2019-11-01",20
"2019-12-01",21
"2020-01-01",26
"2020-02-01",25
"2020-03-01",63
"2020-04-01",40
"2020-05-01",32
"2020-06-01",27
"2020-07-01",33
"2020-08-01",26
"2020-09-01",29
"2020-10-01",29
"2020-11-01",25
"2020-12-01",30
"2021-01-01",31
"2021-02-01",34
"2021-03-01",40
"2021-04-01",32
"2021-05-01",35
"2021-06-01",33
"2021-07-01",28
"2021-08-01",31
"2021-09-01",35
"2021-10-01",32
"2021-11-01",29
"2021-12-01",29
"2022-01-01",42
"2022-02-01",36
"2022-03-01",42
"2022-04-01",39
"2022-05-01",39
"2022-06-01",35
"2022-07-01",32
"2022-08-01",36
"2022-09-01",35
"2022-10-01",36
"2022-11-01",37
"2022-12-01",34
"2023-01-01",38
"2023-02-01",41
"2023-03-01",41
"2023-04-01",45
"2023-05-01",43
"2023-06-01",35
"2023-07-01",36
"2023-08-01",36
"2023-09-01",39
"2023-10-01",43
"2023-11-01",44
"2023-12-01",44
"2024-01-01",48
"2024-02-01",45
"2024-03-01",51
"2024-04-01",53
"2024-05-01",51
"2024-06-01",45
"2024-07-01",41
"2024-08-01",42
"2024-09-01",51
"2024-10-01",53
"2024-11-01",45
"2024-12-01",46
"2025-01-01",49
"2025-02-01",64
"2025-03-01",59
"2025-04-01",61
"2025-05-01",63
"2025-06-01",66
"2025-07-01",72
"2025-08-01",77
"2025-09-01",100
"2025-10-01",81
"2025-11-01",82
"2025-12-01",90
"2026-01-01",89
"2026-02-01",62
