,SP500,VIX,RV_30D,IV_VAR,RV_30D_VAR,VRP,WTI_Crude_Oil,Natural_Gas,Copper,Gold,Silver,USD_JPY,USD_CHF,Japan_Policy_Rate,Japan_10Y_JGB,Industrial_Production,Unemployment_Rate,Consumer_Sentiment,Building_Permits,Retail_Sales,IG_OAS_Spread,NFCI,CPI,Core_CPI,CPI_YoY,Core_CPI_YoY,Core_minus_Headline_Inflation,Expected_Inflation_5Y,Expected_Inflation_10Y,Fed_Total_Assets,Treasury_General_Account,Bank_Reserves,US_10Y_Treasury,US_2Y_Treasury,US_3M_Treasury,US_10Y_Real_Yield,credit_card_debt,foodbanks_near_me,help_with_mortgage,resume_template,sell_jewelry,Sector_Rotation,BBB_AAA_Credit_Spread,High_Yield_Spread,Short_Term_Credit_Spread,Long_Term_Credit_Spread,Credit_Spread_Term_Struct,Spread_10Y_2Y,Spread_10Y_3M
2004-04-02,1141.81005859375,15.640000343322754,0.13546175070328656,0.024460961073913587,0.01834988590359936,0.0061110751703142285,34.38999938964844,5.811999797821045,1.3519999980926514,421.6000061035156,8.145999908447266,104.55,1.2932,0.0,1.52,92.93,5.6,94.2,2070.0,307358.0,0.94,-0.79553,188.0,195.9,2.285092491838947,1.7662337662337713,-0.5188587256051758,2.38,2.46,760725.0,5246.0,14803.0,4.15,1.86,0.95,1.69,68.0,0.0,0.0,39.0,29.0,,0.7299999999999995,-0.1899999999999995,0.08999999999999997,2.1100000000000003,-2.0200000000000005,2.29,3.2
2004-04-09,1139.3199462890625,16.260000228881836,0.13801062007805961,0.026438760744323733,0.01904693125433051,0.007391829489993222,37.13999938964844,5.940999984741211,1.3125,419.8999938964844,8.085000038146973,106.45,1.2819,0.0,1.52,92.93,5.6,94.2,2070.0,307358.0,0.93,-0.78451,188.0,195.9,2.285092491838947,1.7662337662337713,-0.5188587256051758,2.34,2.41,754083.0,5010.0,9757.0,4.21,1.88,0.93,1.8,68.0,0.0,0.0,39.0,29.0,0.001448160224660766,0.7299999999999995,-0.29000000000000004,0.08999999999999997,2.1100000000000003,-2.0200000000000005,2.33,3.28
2004-04-16,1134.6099853515625,14.9399995803833,0.1409737290581482,0.02232035874618532,0.01987359228456018,0.0024467664616251404,37.7400016784668,5.610000133514404,1.3504999876022339,401.0,7.139999866485596,107.69,1.2912,0.0,1.52,92.93,5.6,94.2,2070.0,307358.0,0.9,-0.77113,188.0,195.9,2.285092491838947,1.7662337662337713,-0.5188587256051758,2.44,2.5,763734.0,5158.0,14601.0,4.37,2.03,0.94,1.87,68.0,0.0,0.0,39.0,29.0,-0.009338760532981844,0.7299999999999995,-0.3899999999999997,0.09999999999999998,2.1100000000000003,-2.0100000000000002,2.3400000000000003,3.43
2004-04-23,1140.5999755859375,14.010000228881836,0.13760584657413055,0.01962801064132691,0.01893536901138316,0.0006926416299437507,36.459999084472656,5.571000099182129,1.2430000305175781,395.1000061035156,6.1579999923706055,109.38,1.3202,0.0,1.52,92.93,5.6,94.2,2070.0,307358.0,0.87,-0.75603,188.0,195.9,2.285092491838947,1.7662337662337713,-0.5188587256051758,2.29,2.36,757984.0,6630.0,14021.0,4.48,2.29,0.98,2.12,68.0,0.0,0.0,39.0,29.0,0.0018150224866713878,0.7299999999999995,-0.5399999999999996,0.09000000000000008,2.1100000000000003,-2.0200000000000005,2.1900000000000004,3.5000000000000004
2004-04-30,1107.300048828125,17.190000534057617,0.13125925634685773,0.029549611836090117,0.01722899237673011,0.012320619459360006,37.380001068115234,5.861999988555908,1.2094999551773071,387.0,6.078000068664551,110.37,1.2984,0.0,1.52,92.93,5.6,94.2,2070.0,307358.0,0.91,-0.74076,188.0,195.9,2.285092491838947,1.7662337662337713,-0.5188587256051758,2.34,2.42,772927.0,7444.0,18223.0,4.53,2.31,0.98,2.11,60.0,0.0,0.0,35.0,28.0,-0.024940497924729153,0.7299999999999995,-0.4399999999999995,0.1200000000000001,2.1100000000000003,-1.9900000000000002,2.22,3.5500000000000003
2004-05-07,1098.699951171875,18.1299991607666,0.1231513291181095,0.03286968695693977,0.015166249863556924,0.01770343709338285,39.93000030517578,6.294000148773193,1.1924999952316284,378.70001220703125,5.589000225067139,112.3,1.302,0.001,1.505,93.6013,5.6,90.2,2150.0,311088.0,0.94,-0.72605,189.1,196.2,3.051771117166213,1.710730948678063,-1.34104016848815,2.46,2.55,758838.0,6025.0,13025.0,4.79,2.64,1.07,2.24,60.0,0.0,0.0,35.0,28.0,-0.006481948925868656,0.71,-0.7299999999999995,0.020000000000000018,2.0300000000000002,-2.0100000000000002,2.15,3.7199999999999998
2004-05-14,1095.699951171875,18.469999313354492,0.12062316359949955,0.03411408746353155,0.014549947596751633,0.019564139866779913,41.380001068115234,6.401000022888184,1.1759999990463257,377.0,5.7210001945495605,114.3,1.3005,0.001,1.505,93.6013,5.6,90.2,2150.0,311088.0,0.98,-0.71352,189.1,196.2,3.051771117166213,1.710730948678063,-1.34104016848815,2.51,2.63,764835.0,5435.0,13493.0,4.79,2.59,0.99,2.16,60.0,0.0,0.0,35.0,28.0,0.013141130318701972,0.71,-0.23999999999999932,0.10000000000000009,2.0300000000000002,-1.9300000000000002,2.2,3.8
2004-05-21,1093.56005859375,18.489999771118164,0.11996490815623372,0.03418800915359498,0.01439157918893359,0.01979642996466139,39.93000030517578,6.353000164031982,1.2200000286102295,384.79998779296875,5.86299991607666,112.09,1.2797,0.001,1.505,93.6013,5.6,90.2,2150.0,311088.0,0.98,-0.70356,189.1,196.2,3.051771117166213,1.710730948678063,-1.34104016848815,2.57,2.72,756874.0,5333.0,14219.0,4.76,2.6,1.03,2.04,60.0,0.0,0.0,35.0,28.0,0.006861645229497837,0.71,-0.39999999999999947,0.08000000000000007,2.0300000000000002,-1.9500000000000002,2.1599999999999997,3.7299999999999995
2004-05-28,1120.6800537109375,15.5,0.12346935367566303,0.024025,0.015244681297085963,0.008780318702914038,39.880001068115234,6.441999912261963,1.277999997138977,394.0,6.105000019073486,110.18,1.2533,0.001,1.505,93.6013,5.6,90.2,2150.0,311088.0,0.97,-0.69645,189.1,196.2,3.051771117166213,1.710730948678063,-1.34104016848815,2.55,2.66,771108.0,5212.0,15726.0,4.66,2.54,1.08,2.0,60.0,0.0,0.0,35.0,28.0,0.0039054182418457595,0.71,-0.47999999999999954,0.030000000000000027,2.0300000000000002,-2.0,2.12,3.58
2004-06-04,1122.5,16.780000686645508,0.10931487517986263,0.02815684230438237,0.011949741935588946,0.016207100368793425,38.4900016784668,6.261000156402588,1.2335000038146973,390.8999938964844,5.802999973297119,111.27,1.244,0.001,1.807,92.871,5.6,95.6,2020.0,309127.0,0.99,-0.69162,189.7,196.6,3.2661948829613596,1.865284974093262,-1.4009099088680976,2.6,2.67,764090.0,4092.0,15312.0,4.78,2.7,1.21,2.11,58.0,0.0,0.0,42.0,16.0,-0.006150881980433601,0.7700000000000005,-0.5700000000000003,0.050000000000000044,2.05,-1.9999999999999998,2.08,3.5700000000000003
2004-06-11,1136.469970703125,15.039999961853027,0.115097443130902,0.022620159885253902,0.01324742141527122,0.009372738469982681,38.45000076293945,6.176000118255615,1.1759999990463257,385.8999938964844,5.744999885559082,110.09,1.2597,0.001,1.807,92.871,5.6,95.6,2020.0,309127.0,0.98,-0.6889,189.7,196.6,3.2661948829613596,1.865284974093262,-1.4009099088680976,2.55,2.63,772187.0,4698.0,11799.0,4.81,2.81,1.3,2.18,58.0,0.0,0.0,42.0,16.0,0.012723701033166815,0.7700000000000005,-0.6800000000000006,0.020000000000000018,2.05,-2.03,1.9999999999999996,3.51
