iter	Passed	Remaining
0	2	828
1	3	733
2	16	2165
3	18	1851
4	20	1654
5	23	1513
6	27	1516
7	31	1521
8	33	1446
9	35	1385
10	37	1339
11	40	1307
12	43	1302
13	45	1266
14	66	1713
15	69	1657
16	71	1616
17	75	1595
18	77	1558
19	79	1516
20	81	1478
21	84	1453
22	86	1416
23	93	1469
24	95	1430
25	96	1391
26	98	1354
27	99	1320
28	100	1288
29	115	1419
30	117	1393
31	118	1362
32	124	1384
33	126	1357
34	127	1332
35	129	1307
36	130	1284
37	133	1276
38	136	1266
39	138	1245
40	139	1224
41	141	1205
42	142	1186
43	144	1166
44	145	1147
45	146	1129
46	149	1121
47	151	1107
48	152	1093
49	154	1078
50	155	1063
51	156	1048
52	157	1034
53	159	1020
54	160	1007
55	161	994
56	163	984
57	165	975
58	167	969
59	169	957
60	170	946
61	171	935
62	172	925
63	174	914
64	175	905
65	177	898
66	178	888
67	180	880
68	182	875
69	184	869
70	186	862
71	187	853
72	188	845
73	189	837
74	191	828
75	192	821
76	193	813
77	195	807
78	197	800
79	198	794
80	199	787
81	201	779
82	202	773
83	203	766
84	205	759
85	206	753
86	207	747
87	208	740
88	210	734
89	212	730
90	214	727
91	215	722
92	217	716
93	218	711
94	219	705
95	221	700
96	222	694
97	223	689
98	224	684
99	226	679
100	228	677
101	230	673
102	231	668
103	233	663
104	234	658
105	235	654
106	237	649
107	238	645
108	240	640
109	241	636
110	243	632
111	244	629
112	246	625
113	247	621
114	248	616
115	250	612
116	251	608
117	252	604
118	254	600
119	255	596
120	257	592
121	258	589
122	260	587
123	262	583
124	263	579
125	264	575
126	265	571
127	267	567
128	268	563
129	269	559
130	270	556
131	272	552
132	273	549
133	275	546
134	276	543
135	278	539
136	279	536
137	280	532
138	282	530
139	284	527
140	285	524
141	286	521
142	288	518
143	290	515
144	291	513
145	294	511
146	295	508
147	297	505
148	298	502
149	299	499
150	300	496
151	302	493
152	303	489
153	304	487
154	306	484
155	307	481
156	309	479
157	311	476
158	312	473
159	313	470
160	315	467
161	316	464
162	317	461
163	318	458
164	320	456
165	322	453
166	323	451
167	324	448
168	326	446
169	327	443
170	328	440
171	330	437
172	331	435
173	332	432
174	334	429
175	335	427
176	337	425
177	339	424
178	341	421
179	343	419
180	344	416
181	345	414
182	347	411
183	348	409
184	349	406
185	351	404
186	353	402
187	355	400
188	356	398
189	357	395
190	359	393
191	360	390
192	361	388
193	363	385
194	364	383
195	365	380
196	367	378
197	369	376
198	370	374
199	372	372
200	373	369
201	374	367
202	375	364
203	377	362
204	378	359
205	379	357
206	380	355
207	382	353
208	384	351
209	385	349
210	387	346
211	388	344
212	389	342
213	391	339
214	392	337
215	393	335
216	395	333
217	396	331
218	398	329
219	400	327
220	402	326
221	403	323
222	405	321
223	406	319
224	407	317
225	408	314
226	410	312
227	411	310
228	412	308
229	415	307
230	417	305
231	418	303
232	419	301
233	421	298
234	422	296
235	424	294
236	425	292
237	426	290
238	428	288
239	429	286
240	431	284
241	433	282
242	434	280
243	435	278
244	437	276
245	438	274
246	439	272
247	441	270
248	442	268
249	443	266
250	445	264
251	447	262
252	448	260
253	450	258
254	451	256
255	452	254
256	454	252
257	455	250
258	456	248
259	458	247
260	460	245
261	462	243
262	463	241
263	465	239
264	466	237
265	468	235
266	469	233
267	470	231
268	472	229
269	473	227
270	474	226
271	476	224
272	478	222
273	479	220
274	481	218
275	482	216
276	483	214
277	484	212
278	486	210
279	487	209
280	489	207
281	490	205
282	492	203
283	494	201
284	496	200
285	497	198
286	498	196
287	500	194
288	501	192
289	502	190
290	504	188
291	505	186
292	506	185
293	508	183
294	510	181
295	511	179
296	512	177
297	514	175
298	515	174
299	516	172
300	518	170
301	519	168
302	521	166
303	522	165
304	524	163
305	526	161
306	527	159
307	528	157
308	530	156
309	531	154
310	532	152
311	534	150
312	535	148
313	536	147
314	538	145
315	540	143
316	542	141
317	543	140
318	544	138
319	546	136
320	548	134
321	549	133
322	551	131
323	552	129
324	556	128
325	558	126
326	559	125
327	561	123
328	563	121
329	564	119
330	565	117
331	567	116
332	568	114
333	570	112
334	573	111
335	574	109
336	576	107
337	578	106
338	579	104
339	580	102
340	582	100
341	583	98
342	585	97
343	587	95
344	589	93
345	590	92
346	591	90
347	593	88
348	594	86
349	595	85
350	597	83
351	598	81
352	601	80
353	602	78
354	605	76
355	607	75
356	609	73
357	610	71
358	612	69
359	613	68
360	615	66
361	618	64
362	620	63
363	621	61
364	623	59
365	625	58
366	626	56
367	627	54
368	629	52
369	630	51
370	634	49
371	635	47
372	637	46
373	638	44
374	640	42
375	641	40
376	642	39
377	643	37
378	645	35
379	646	34
380	649	32
381	651	30
382	652	28
383	654	27
384	655	25
385	657	23
386	658	22
387	660	20
388	661	18
389	665	17
390	667	15
391	668	13
392	669	11
393	671	10
394	672	8
395	673	6
396	675	5
397	676	3
398	678	1
399	680	0
